"CALLE";"NUMERO";"M2";"DOLARES";"U_S_M2";"AMBIENTES";"ANTIGUEDAD";"ORIENT";"BAULERA";"COCHERA";"BA�.OS";"LAVADERO";"TERRAZA";"BARRIO";"COMUNA";"LON";"LAT"
"1";"11 DE SEPTIEMBRE DE 1888";700;560;1270000;2267.9;5;20;"FRENTE";"Si";"Si";4;"No";"Si";"PALERMO";14;-58.4395225166253;-34.5706919299279
"2";"11 DE SEPTIEMBRE DE 1888";800;126;295000;2341.3;4;45;"S/D";"No";"Si";0;"No";"No";"PALERMO";14;-58.4402560763357;-34.5703125198249
"3";"11 DE SEPTIEMBRE DE 1888";900;109;320000;2935.8;4;20;"FRENTE";"Si";"Si";3;"Si";"Si";"PALERMO";14;-58.4413206426802;-34.5694871096261
"4";"11 DE SEPTIEMBRE DE 1888";900;150;400000;2666.7;4;37;"FRENTE";"Si";"Si";2;"Si";"Si";"PALERMO";14;-58.4413206426802;-34.5694871096261
"5";"11 DE SEPTIEMBRE DE 1888";900;270;950000;3518.5;4;30;"FRENTE";"No";"No";3;"No";"Si";"PALERMO";14;-58.4413206426802;-34.5694871096261
"6";"11 DE SEPTIEMBRE DE 1888";900;350;880000;2514.3;4;30;"S/D";"Si";"Si";0;"Si";"Si";"PALERMO";14;-58.4413206426802;-34.5694871096261
"7";"11 DE SEPTIEMBRE DE 1888";900;362;470000;1298.3;4;37;"FRENTE";"No";"Si";0;"No";"No";"PALERMO";14;-58.4413206426802;-34.5694871096261
"8";"11 DE SEPTIEMBRE DE 1888";1000;121;295000;2438;4;NA;"S/D";"No";"No";0;"No";"No";"PALERMO";14;-58.4422919356674;-34.568726753356
"9";"11 DE SEPTIEMBRE DE 1888";1100;193;565000;2927.5;5;37;"FRENTE";"Si";"No";4;"Si";"No";"PALERMO";14;-58.443073439804;-34.5681116849402
"10";"11 DE SEPTIEMBRE DE 1888";1200;220;620000;2818.2;4;10;"FRENTE";"Si";"Si";0;"Si";"Si";"PALERMO";14;-58.4438352179436;-34.5675307165479
"11";"11 DE SEPTIEMBRE DE 1888";1300;250;1200000;4800;5;NA;"FRENTE";"Si";"Si";4;"Si";"Si";"PALERMO";14;-58.4448340248695;-34.5663762305176
